Algo,TailleMat,RunId,TempsAlloc,TempsCalc
GPU3,70,24,0.023592,0.037750
GPU3,70,25,0.035690,0.047233
GPU3,70,26,0.025391,0.037406
GPU3,70,27,0.023174,0.037074
GPU3,70,28,0.029033,0.042626
GPU3,70,29,0.023549,0.037239
GPU3,70,30,0.030135,0.043970
GPU3,70,31,0.025370,0.036923
GPU3,70,32,0.029087,0.041382
GPU3,80,1,0.024360,0.048206
GPU3,80,2,0.027446,0.048353
GPU3,80,3,0.034845,0.060994
GPU3,80,4,0.030695,0.053841
GPU3,80,5,0.023074,0.047631
GPU3,80,6,0.029487,0.050550
GPU3,80,7,0.032480,0.054920
GPU3,80,8,0.041385,0.062428
GPU3,80,9,0.025615,0.048757
GPU3,80,10,0.023421,0.048355
GPU3,80,11,0.033232,0.058583
GPU3,80,12,0.024496,0.047151
GPU3,80,13,0.034035,0.057535
GPU3,80,14,0.024705,0.048679
GPU3,80,15,0.028822,0.051680
GPU3,80,16,0.023294,0.047407
GPU3,80,17,0.023606,0.049677
GPU3,80,18,0.033183,0.057076
GPU3,80,19,0.028604,0.049422
GPU3,80,20,0.032594,0.055468
GPU3,80,21,0.025930,0.047894
GPU3,80,22,0.033850,0.058201
GPU3,80,23,0.039756,0.063541
GPU3,80,24,0.040084,0.063097
GPU3,80,25,0.041840,0.066380
GPU3,80,26,0.048563,0.076119
GPU3,80,27,0.047266,0.069198
GPU3,80,28,0.043265,0.071450
GPU3,80,29,0.039464,0.058826
GPU3,80,30,0.025297,0.047554
GPU3,80,31,0.034571,0.056951
GPU3,80,32,0.035049,0.063414
GPU3,90,1,0.041804,0.076822
GPU3,90,2,0.041492,0.072174
GPU3,90,3,0.042037,0.072897
GPU3,90,4,0.041179,0.075572
GPU3,90,5,0.039905,0.080559
GPU3,90,6,0.029359,0.060777
GPU3,90,7,0.023797,0.061156
GPU3,90,8,0.023103,0.061409
GPU3,90,9,0.022950,0.060562
GPU3,90,10,0.023359,0.060756
GPU3,90,11,0.038178,0.076294
GPU3,90,12,0.041758,0.075276
GPU3,90,13,0.036050,0.073782
GPU3,90,14,0.044267,0.077581
GPU3,90,15,0.044288,0.078985
GPU3,90,16,0.044273,0.081173
GPU3,90,17,0.045357,0.086359
GPU3,90,18,0.043125,0.079048
GPU3,90,19,0.042081,0.080264
GPU3,90,20,0.042508,0.075279
GPU3,90,21,0.042360,0.076231
GPU3,90,22,0.033522,0.070328
GPU3,90,23,0.043681,0.075007
GPU3,90,24,0.039351,0.076968
GPU3,90,25,0.042112,0.070946
GPU3,90,26,0.029126,0.064892
GPU3,90,27,0.044499,0.078627
GPU3,90,28,0.041356,0.077760
GPU3,90,29,0.028033,0.066006
GPU3,90,30,0.043202,0.077422
GPU3,90,31,0.025185,0.060020
GPU3,90,32,0.032301,0.066674
GPU3,100,1,0.043687,0.096966
GPU3,100,2,0.043715,0.092034
GPU3,100,3,0.044204,0.097616
GPU3,100,4,0.041150,0.089031
GPU3,100,5,0.027309,0.076257
GPU3,100,6,0.038127,0.086425
GPU3,100,7,0.038861,0.081726
GPU3,100,8,0.042943,0.091926
GPU3,100,9,0.038936,0.089847
GPU3,100,10,0.025304,0.072198
GPU3,100,11,0.034842,0.084345
GPU3,100,12,0.032945,0.084683
GPU3,100,13,0.043163,0.095316
GPU3,100,14,0.043269,0.096363
GPU3,100,15,0.031179,0.083400
GPU3,100,16,0.031481,0.080337
GPU3,100,17,0.045222,0.093827
GPU3,100,18,0.031229,0.082396
GPU3,100,19,0.041586,0.092028
GPU3,100,20,0.042756,0.092889
GPU3,100,21,0.042786,0.090434
GPU3,100,22,0.037962,0.080808
GPU3,100,23,0.034550,0.086008
GPU3,100,24,0.038753,0.085026
GPU3,100,25,0.041225,0.088280
GPU3,100,26,0.024407,0.073428
GPU3,100,27,0.032171,0.078072
GPU3,100,28,0.038667,0.094813
GPU3,100,29,0.025631,0.073488
GPU3,100,30,0.035524,0.089507
GPU3,100,31,0.039700,0.088354
GPU3,100,32,0.043652,0.091043
GPU3,110,1,0.043335,0.105523
GPU3,110,2,0.027150,0.088686
GPU3,110,3,0.038319,0.106502
GPU3,110,4,0.040120,0.110161
GPU3,110,5,0.043141,0.100954
GPU3,110,6,0.027129,0.086881
GPU3,110,7,0.042232,0.108323
GPU3,110,8,0.044021,0.105149
GPU3,110,9,0.043171,0.106875
GPU3,110,10,0.027325,0.132690
GPU3,110,11,0.023161,0.090347
GPU3,110,12,0.023246,0.087105
GPU3,110,13,0.029392,0.085593
GPU3,110,14,0.040382,0.106162
GPU3,110,15,0.043918,0.107837
GPU3,110,16,0.033018,0.101712
GPU3,110,17,0.031399,0.102586
GPU3,110,18,0.023364,0.085913
GPU3,110,19,0.035928,0.104915
GPU3,110,20,0.043464,0.103967
GPU3,110,21,0.025599,0.087916
GPU3,110,22,0.027271,0.088242
GPU3,110,23,0.036770,0.109341
GPU3,110,24,0.032776,0.095344
GPU3,110,25,0.039688,0.099380
