Algo,TailleMat,RunId,TempsAlloc,TempsCalc
GPU1,70,23,0.023256,0.000099
GPU1,70,24,0.026657,0.000105
GPU1,70,25,0.031246,0.000105
GPU1,70,26,0.028754,0.000102
GPU1,70,27,0.028065,0.000103
GPU1,70,28,0.023038,0.000099
GPU1,70,29,0.023255,0.000100
GPU1,70,30,0.025876,0.000102
GPU1,70,31,0.023542,0.000099
GPU1,70,32,0.023230,0.000099
GPU1,80,1,0.028609,0.000121
GPU1,80,2,0.023646,0.000119
GPU1,80,3,0.029080,0.000763
GPU1,80,4,0.026254,0.000122
GPU1,80,5,0.023606,0.000118
GPU1,80,6,0.026750,0.000121
GPU1,80,7,0.027285,0.000117
GPU1,80,8,0.024225,0.000117
GPU1,80,9,0.027583,0.000120
GPU1,80,10,0.023874,0.000118
GPU1,80,11,0.032694,0.000122
GPU1,80,12,0.030813,0.000122
GPU1,80,13,0.024502,0.000118
GPU1,80,14,0.036445,0.000123
GPU1,80,15,0.031489,0.000122
GPU1,80,16,0.025056,0.000118
GPU1,80,17,0.023390,0.000119
GPU1,80,18,0.026646,0.000215
GPU1,80,19,0.023464,0.000133
GPU1,80,20,0.023168,0.000118
GPU1,80,21,0.026683,0.000120
GPU1,80,22,0.023363,0.000119
GPU1,80,23,0.023168,0.000117
GPU1,80,24,0.026509,0.000121
GPU1,80,25,0.034610,0.000122
GPU1,80,26,0.030536,0.000121
GPU1,80,27,0.032351,0.000123
GPU1,80,28,0.042317,0.000127
GPU1,80,29,0.029071,0.000120
GPU1,80,30,0.027625,0.000119
GPU1,80,31,0.026860,0.000135
GPU1,80,32,0.023749,0.000117
GPU1,90,1,0.023436,0.000181
GPU1,90,2,0.025042,0.000829
GPU1,90,3,0.023950,0.000183
GPU1,90,4,0.023749,0.000183
GPU1,90,5,0.027507,0.000291
GPU1,90,6,0.023803,0.000181
GPU1,90,7,0.023281,0.000182
GPU1,90,8,0.023245,0.000181
GPU1,90,9,0.023761,0.000182
GPU1,90,10,0.028093,0.000182
GPU1,90,11,0.027593,0.000183
GPU1,90,12,0.023405,0.000181
GPU1,90,13,0.023567,0.000182
GPU1,90,14,0.023440,0.000180
GPU1,90,15,0.030037,0.000184
GPU1,90,16,0.024440,0.000182
GPU1,90,17,0.030176,0.000183
GPU1,90,18,0.025131,0.000182
GPU1,90,19,0.024538,0.000181
GPU1,90,20,0.027111,0.000185
GPU1,90,21,0.023798,0.000181
GPU1,90,22,0.023209,0.000182
GPU1,90,23,0.023615,0.002296
GPU1,90,24,0.025418,0.000185
GPU1,90,25,0.023361,0.000183
GPU1,90,26,0.025869,0.000181
GPU1,90,27,0.024039,0.000182
GPU1,90,28,0.023803,0.000181
GPU1,90,29,0.026310,0.000183
GPU1,90,30,0.024496,0.000182
GPU1,90,31,0.023081,0.000182
GPU1,90,32,0.035100,0.000188
GPU1,100,1,0.025834,0.000204
GPU1,100,2,0.028660,0.000207
GPU1,100,3,0.033019,0.000207
GPU1,100,4,0.041942,0.000208
GPU1,100,5,0.039936,0.000208
GPU1,100,6,0.026553,0.000206
GPU1,100,7,0.023870,0.000206
GPU1,100,8,0.026467,0.000207
GPU1,100,9,0.023565,0.000206
GPU1,100,10,0.023231,0.000206
GPU1,100,11,0.023708,0.002302
GPU1,100,12,0.028683,0.000208
GPU1,100,13,0.035060,0.000211
GPU1,100,14,0.036686,0.000209
GPU1,100,15,0.026632,0.000208
GPU1,100,16,0.026557,0.000209
GPU1,100,17,0.023757,0.000206
GPU1,100,18,0.023421,0.000205
GPU1,100,19,0.025959,0.000205
GPU1,100,20,0.024519,0.000206
GPU1,100,21,0.024011,0.000204
GPU1,100,22,0.028414,0.000308
GPU1,100,23,0.023877,0.000206
GPU1,100,24,0.028182,0.000206
GPU1,100,25,0.029584,0.000208
GPU1,100,26,0.023939,0.000205
GPU1,100,27,0.023425,0.000206
GPU1,100,28,0.026268,0.000206
GPU1,100,29,0.023697,0.000206
GPU1,100,30,0.034824,0.000208
GPU1,100,31,0.033732,0.000209
GPU1,100,32,0.042739,0.000210
GPU1,110,1,0.030879,0.000283
GPU1,110,2,0.029702,0.000280
GPU1,110,3,0.023921,0.000277
GPU1,110,4,0.035599,0.000291
GPU1,110,5,0.026162,0.000278
GPU1,110,6,0.023960,0.000282
GPU1,110,7,0.031271,0.000282
GPU1,110,8,0.023760,0.000281
GPU1,110,9,0.038182,0.000283
GPU1,110,10,0.032675,0.000282
GPU1,110,11,0.026057,0.000281
GPU1,110,12,0.032767,0.000282
GPU1,110,13,0.030063,0.000281
GPU1,110,14,0.025861,0.000279
GPU1,110,15,0.023195,0.000281
GPU1,110,16,0.027893,0.000282
GPU1,110,17,0.026285,0.000281
GPU1,110,18,0.026243,0.000282
GPU1,110,19,0.025768,0.000281
GPU1,110,20,0.027768,0.000282
GPU1,110,21,0.025672,0.000280
GPU1,110,22,0.025826,0.000282
GPU1,110,23,0.023627,0.000278
GPU1,110,24,0.023460,0.000278
GPU1,110,25,0.031940,0.000286
GPU1,110,26,0.027042,0.000282
GPU1,110,27,0.024384,0.000281
GPU1,110,28,0.026496,0.000281
GPU1,110,29,0.023620,0.000278
GPU1,110,30,0.023731,0.000281
GPU1,110,31,0.023535,0.002249
GPU1,110,32,0.023684,0.000282
GPU1,120,1,0.023515,0.000403
GPU1,120,2,0.025570,0.001053
GPU1,120,3,0.024421,0.000401
GPU1,120,4,0.036797,0.000411
GPU1,120,5,0.030339,0.000412
GPU1,120,6,0.025427,0.000402
GPU1,120,7,0.023862,0.000398
