Algo,TailleMat,RunId,Temps
CPU1,120,5,0.019321
CPU1,120,6,0.016883
CPU1,120,7,0.015003
CPU1,120,8,0.012878
CPU1,120,9,0.012449
CPU1,120,10,0.019246
CPU1,120,11,0.016769
CPU1,120,12,0.015268
CPU1,120,13,0.019086
CPU1,120,14,0.015729
CPU1,120,15,0.014071
CPU1,120,16,0.013101
CPU1,120,17,0.012162
CPU1,120,18,0.019349
CPU1,120,19,0.017681
CPU1,120,20,0.015696
CPU1,120,21,0.019367
CPU1,120,22,0.018943
CPU1,120,23,0.016659
CPU1,120,24,0.019131
CPU1,120,25,0.017057
CPU1,120,26,0.017798
CPU1,120,27,0.015613
CPU1,120,28,0.015671
CPU1,120,29,0.013822
CPU1,120,30,0.013470
CPU1,120,31,0.018369
CPU1,120,32,0.012570
CPU1,130,1,0.023973
CPU1,130,2,0.019736
CPU1,130,3,0.024210
CPU1,130,4,0.024454
CPU1,130,5,0.022572
CPU1,130,6,0.024623
CPU1,130,7,0.024389
CPU1,130,8,0.024118
CPU1,130,9,0.021943
CPU1,130,10,0.018715
CPU1,130,11,0.016854
CPU1,130,12,0.015451
CPU1,130,13,0.014245
CPU1,130,14,0.013761
CPU1,130,15,0.013031
CPU1,130,16,0.013537
CPU1,130,17,0.012098
CPU1,130,18,0.011669
CPU1,130,19,0.024255
CPU1,130,20,0.018521
CPU1,130,21,0.016587
CPU1,130,22,0.024332
CPU1,130,23,0.020785
CPU1,130,24,0.018885
CPU1,130,25,0.017104
CPU1,130,26,0.015508
CPU1,130,27,0.024459
CPU1,130,28,0.024471
CPU1,130,29,0.024345
CPU1,130,30,0.024079
CPU1,130,31,0.024542
CPU1,130,32,0.023881
CPU1,140,1,0.025917
CPU1,140,2,0.023007
CPU1,140,3,0.029231
CPU1,140,4,0.029593
CPU1,140,5,0.024298
CPU1,140,6,0.022586
CPU1,140,7,0.021385
CPU1,140,8,0.029820
CPU1,140,9,0.025614
CPU1,140,10,0.022627
CPU1,140,11,0.021675
CPU1,140,12,0.019301
CPU1,140,13,0.029899
CPU1,140,14,0.024285
CPU1,140,15,0.021173
CPU1,140,16,0.029146
CPU1,140,17,0.025147
CPU1,140,18,0.021636
CPU1,140,19,0.020757
CPU1,140,20,0.029625
CPU1,140,21,0.023331
CPU1,140,22,0.021374
CPU1,140,23,0.019170
CPU1,140,24,0.017866
CPU1,140,25,0.016667
CPU1,140,26,0.015432
CPU1,140,27,0.029688
CPU1,140,28,0.024618
CPU1,140,29,0.021702
CPU1,140,30,0.019600
CPU1,140,31,0.018294
CPU1,140,32,0.016971
CPU1,150,1,0.019692
CPU1,150,2,0.018198
CPU1,150,3,0.018650
CPU1,150,4,0.017769
CPU1,150,5,0.017098
CPU1,150,6,0.031195
CPU1,150,7,0.023712
CPU1,150,8,0.021436
CPU1,150,9,0.019713
CPU1,150,10,0.035624
CPU1,150,11,0.031927
CPU1,150,12,0.035931
CPU1,150,13,0.035505
CPU1,150,14,0.034982
CPU1,150,15,0.028586
CPU1,150,16,0.024438
CPU1,150,17,0.021851
CPU1,150,18,0.020989
CPU1,150,19,0.019621
CPU1,150,20,0.028956
CPU1,150,21,0.036111
CPU1,150,22,0.030529
CPU1,150,23,0.035907
CPU1,150,24,0.027702
CPU1,150,25,0.023902
CPU1,150,26,0.021476
CPU1,150,27,0.019721
CPU1,150,28,0.018161
CPU1,150,29,0.017118
CPU1,150,30,0.016092
CPU1,150,31,0.035602
CPU1,150,32,0.028427
CPU1,160,1,0.042644
CPU1,160,2,0.041871
CPU1,160,3,0.042435
CPU1,160,4,0.032847
CPU1,160,5,0.042321
CPU1,160,6,0.035631
CPU1,160,7,0.031798
CPU1,160,8,0.028306
CPU1,160,9,0.025542
CPU1,160,10,0.023799
CPU1,160,11,0.022151
CPU1,160,12,0.020390
CPU1,160,13,0.042590
CPU1,160,14,0.019774
CPU1,160,15,0.042444
CPU1,160,16,0.042605
CPU1,160,17,0.043139
CPU1,160,18,0.035557
CPU1,160,19,0.031208
CPU1,160,20,0.028353
CPU1,160,21,0.041728
CPU1,160,22,0.042578
CPU1,160,23,0.042682
CPU1,160,24,0.035309
CPU1,160,25,0.042638
CPU1,160,26,0.035696
CPU1,160,27,0.031680
CPU1,160,28,0.028998
CPU1,160,29,0.025360
CPU1,160,30,0.025073
CPU1,160,31,0.022703
CPU1,160,32,0.037457
CPU1,170,1,0.038488
CPU1,170,2,0.050500
CPU1,170,3,0.042306
CPU1,170,4,0.049051
CPU1,170,5,0.042112
CPU1,170,6,0.050679
CPU1,170,7,0.050564
CPU1,170,8,0.048329
CPU1,170,9,0.039754
CPU1,170,10,0.044177
CPU1,170,11,0.050105
CPU1,170,12,0.039094
CPU1,170,13,0.049977
CPU1,170,14,0.041703
CPU1,170,15,0.050191
CPU1,170,16,0.042027
CPU1,170,17,0.049847
CPU1,170,18,0.041375
CPU1,170,19,0.049027
CPU1,170,20,0.050595
CPU1,170,21,0.041062
CPU1,170,22,0.050273
CPU1,170,23,0.050180
CPU1,170,24,0.049610
CPU1,170,25,0.049072
CPU1,170,26,0.043985
CPU1,170,27,0.049385
CPU1,170,28,0.051228
CPU1,170,29,0.048542
CPU1,170,30,0.050206
CPU1,170,31,0.049674
CPU1,170,32,0.039936
CPU1,180,1,0.038414
CPU1,180,2,0.032993
CPU1,180,3,0.057912
CPU1,180,4,0.045613
CPU1,180,5,0.041826
CPU1,180,6,0.054733
CPU1,180,7,0.057129
CPU1,180,8,0.057354
CPU1,180,9,0.057879
CPU1,180,10,0.042806
CPU1,180,11,0.037964
CPU1,180,12,0.034431
CPU1,180,13,0.057315
CPU1,180,14,0.051260
CPU1,180,15,0.057065
CPU1,180,16,0.056790
CPU1,180,17,0.057827
CPU1,180,18,0.056701
CPU1,180,19,0.057115
CPU1,180,20,0.048015
CPU1,180,21,0.056303
CPU1,180,22,0.055258
CPU1,180,23,0.054550
CPU1,180,24,0.048402
CPU1,180,25,0.057654
CPU1,180,26,0.056042
CPU1,180,27,0.055897
CPU1,180,28,0.045162
CPU1,180,29,0.041841
CPU1,180,30,0.057753
CPU1,180,31,0.045671
CPU1,180,32,0.056844
CPU1,190,1,0.065819
CPU1,190,2,0.064311
CPU1,190,3,0.065417
CPU1,190,4,0.064223
CPU1,190,5,0.065004
CPU1,190,6,0.047960
CPU1,190,7,0.065310
CPU1,190,8,0.066189
CPU1,190,9,0.065205
CPU1,190,10,0.065543
CPU1,190,11,0.065692
CPU1,190,12,0.065234
CPU1,190,13,0.053121
CPU1,190,14,0.046554
CPU1,190,15,0.039408
CPU1,190,16,0.035846
CPU1,190,17,0.033617
CPU1,190,18,0.030559
CPU1,190,19,0.028855
CPU1,190,20,0.028382
CPU1,190,21,0.028226
CPU1,190,22,0.066106
CPU1,190,23,0.066431
CPU1,190,24,0.064021
CPU1,190,25,0.047598
CPU1,190,26,0.048641
CPU1,190,27,0.037250
CPU1,190,28,0.066063
CPU1,190,29,0.064159
CPU1,190,30,0.065900
CPU1,190,31,0.065413
CPU1,190,32,0.066991
CPU1,200,1,0.074596
CPU1,200,2,0.074452
CPU1,200,3,0.052863
CPU1,200,4,0.074978
CPU1,200,5,0.074840
CPU1,200,6,0.074092
CPU1,200,7,0.073562
CPU1,200,8,0.074383
CPU1,200,9,0.073994
CPU1,200,10,0.075897
CPU1,200,11,0.073784
CPU1,200,12,0.074388
CPU1,200,13,0.052423
CPU1,200,14,0.047020
CPU1,200,15,0.075433
CPU1,200,16,0.074234
CPU1,200,17,0.074931
CPU1,200,18,0.053454
CPU1,200,19,0.049027
CPU1,200,20,0.075150
CPU1,200,21,0.073837
CPU1,200,22,0.074725
CPU1,200,23,0.074273
CPU1,200,24,0.075129
CPU1,200,25,0.074404
CPU1,200,26,0.072802
CPU1,200,27,0.073681
CPU1,200,28,0.053011
CPU1,200,29,0.073385
CPU1,200,30,0.080710
CPU1,200,31,0.073184
CPU1,200,32,0.074307
CPU1,210,1,0.086474
CPU1,210,2,0.081876
CPU1,210,3,0.086611
CPU1,210,4,0.066141
CPU1,210,5,0.082833
CPU1,210,6,0.083882
CPU1,210,7,0.084376
CPU1,210,8,0.084359
CPU1,210,9,0.085755
CPU1,210,10,0.083702
CPU1,210,11,0.084417
CPU1,210,12,0.085625
CPU1,210,13,0.084966
CPU1,210,14,0.084323
CPU1,210,15,0.085056
CPU1,210,16,0.087070
CPU1,210,17,0.085222
CPU1,210,18,0.059285
CPU1,210,19,0.050931
CPU1,210,20,0.046199
CPU1,210,21,0.044024
CPU1,210,22,0.085305
CPU1,210,23,0.084239
CPU1,210,24,0.083537
CPU1,210,25,0.082883
CPU1,210,26,0.083175
CPU1,210,27,0.084837
CPU1,210,28,0.085271
CPU1,210,29,0.082632
CPU1,210,30,0.081698
CPU1,210,31,0.084061
CPU1,210,32,0.084009
CPU1,220,1,0.092491
CPU1,220,2,0.063603
CPU1,220,3,0.093924
CPU1,220,4,0.094596
CPU1,220,5,0.095719
CPU1,220,6,0.093181
CPU1,220,7,0.093019
CPU1,220,8,0.094962
CPU1,220,9,0.065197
CPU1,220,10,0.095061
CPU1,220,11,0.094488
CPU1,220,12,0.093909
CPU1,220,13,0.095542
CPU1,220,14,0.065131
CPU1,220,15,0.094660
CPU1,220,16,0.095296
CPU1,220,17,0.094077
CPU1,220,18,0.095336
CPU1,220,19,0.094817
CPU1,220,20,0.091378
CPU1,220,21,0.094672
CPU1,220,22,0.094807
CPU1,220,23,0.093257
CPU1,220,24,0.097129
CPU1,220,25,0.092291
CPU1,220,26,0.095004
CPU1,220,27,0.094683
CPU1,220,28,0.093635
CPU1,220,29,0.093335
CPU1,220,30,0.092711
CPU1,220,31,0.090889
CPU1,220,32,0.092956
CPU1,230,1,0.106911
CPU1,230,2,0.100049
CPU1,230,3,0.106464
CPU1,230,4,0.104431
CPU1,230,5,0.105947
CPU1,230,6,0.099960
CPU1,230,7,0.102591
CPU1,230,8,0.105077
CPU1,230,9,0.103500
CPU1,230,10,0.106761
